ID,CUIs
ROCOv2_2023_train_003015,C0040405;C0222331;C0836916;C0448353
ROCOv2_2023_train_011972,C0041618;C0028259;C0205271;C0521174
ROCOv2_2023_train_020241,C0002978;C1261192
ROCOv2_2023_train_021319,C0040405;C0028429;C1510420;C0027432;C0006663;C0230062
ROCOv2_2023_train_046092,C0040405
ROCOv2_2023_train_054295,C1306645;C0817096;C1999039;C5203670;C0009450;C0034063;C2733397
ROCOv2_2023_train_012720,C1306645;C0037303;C1266909;C0021102
ROCOv2_2023_train_051485,C1306645;C0085590
ROCOv2_2023_train_034032,C1306645;C0817096;C1996865;C0038257;C1261287;C0225759;C0178802
ROCOv2_2023_train_006905,C0040405;C0030296;C0227590
ROCOv2_2023_train_011428,C1306645;C1999039;C0024094;C0205321
ROCOv2_2023_train_036339,C1306645;C0817096;C1999039
ROCOv2_2023_train_058518,C0040405;C0227614
ROCOv2_2023_train_040342,C1306645;C0037303;C1999039;C0228120;C0006663
ROCOv2_2023_train_047436,C1306645;C0029408;C0006663;C0007301
ROCOv2_2023_train_048345,C1306645;C0817096;C1996865;C0021853;C1456859
ROCOv2_2023_train_051461,C0040405
ROCOv2_2023_train_046698,C1306645;C1140618;C1999039;C0524469;C0004457;C0222671;C0020164;C0242696;C0175649
ROCOv2_2023_train_017385,C0041618
ROCOv2_2023_train_039177,C0041618;C0205207;C0032961
ROCOv2_2023_train_052334,C0040405;C0817096;C0020564;C0006257;C2939419;C0042591;C0006255;C0019080
ROCOv2_2023_train_048267,C1306645;C1140618;C0205129;C0230365
ROCOv2_2023_train_020590,C1306645;C1140618;C1999039;C0230371;C0013990;C0230347
ROCOv2_2023_train_047293,C0040405;C0205039;C1261074
ROCOv2_2023_train_015184,C0040405;C0022646;C0340776;C0508001
ROCOv2_2023_train_017257,C1306645;C0037949;C1999039;C0021102
ROCOv2_2023_train_032844,C0024485;C0444611;C0224444
ROCOv2_2023_train_025197,C0041618;C0225897;C0030352;C0225844;C0225883
ROCOv2_2023_train_023236,C0002978;C0014537;C0228084
ROCOv2_2023_train_019778,C0041618;C0225949
ROCOv2_2023_train_012825,C1306645;C0030797;C1999039;C0524471
ROCOv2_2023_train_052401,C1306645;C0037303;C0205207;C1510420
ROCOv2_2023_train_023741,C1306645;C0817096;C1999039;C0016733;C0332448
ROCOv2_2023_train_006409,C0024485
ROCOv2_2023_train_016848,C0002978;C0015811
ROCOv2_2023_train_027452,C1306645;C0817096;C0018787
ROCOv2_2023_train_026535,C0024485;C0227614;C0027651
ROCOv2_2023_train_036040,C0040405;C0000726;C0205271;C1510420;C0227481
ROCOv2_2023_train_007183,C0040405;C0016733;C0494165;C0013303;C0022378
ROCOv2_2023_train_022801,C0040405;C0444611;C0000726;C0023884;C0021845;C0226727
ROCOv2_2023_train_030428,C1306645;C0030797;C1999039;C0024091;C0301559
ROCOv2_2023_train_058045,C1306645;C0037303
ROCOv2_2023_train_001384,C0040405;C0087086;C0226086;C0226088
ROCOv2_2023_train_033109,C0032743;C0035359;C0030797;C0032225;C2939419
ROCOv2_2023_train_033802,C1306645;C0000726;C1999039;C0010384;C0034193
ROCOv2_2023_train_022950,C0040405;C0225754
ROCOv2_2023_train_047724,C0040405;C0019284
ROCOv2_2023_train_056970,C0040405
ROCOv2_2023_train_033555,C1306645;C0817096;C1996865;C0003483;C0006663;C0225317;C0012736
ROCOv2_2023_train_011795,C0024485;C0004781;C0444611
ROCOv2_2023_train_003697,C1306645;C0817096;C1996865;C0011980
ROCOv2_2023_train_024660,C1306645;C0037949;C1999039;C0581269
ROCOv2_2023_train_019446,C0040405;C0005682
ROCOv2_2023_train_017568,C1306645;C0037303;C0040456;C0024687
ROCOv2_2023_train_013791,C0032743;C0022655;C0242696;C0015811
ROCOv2_2023_train_009934,C1306645;C0030797;C1999039;C0448190
ROCOv2_2023_train_039513,C0002978;C0332234
ROCOv2_2023_train_049642,C0002978;C0038257;C0042591;C0524466;C0004811;C0034052;C0042559
ROCOv2_2023_train_030251,C1306645;C0030797;C1999039;C0020889
ROCOv2_2023_train_044397,C0041618;C0027088
ROCOv2_2023_train_044774,C1306645;C0817096;C1996865;C1370824;C0225706
ROCOv2_2023_train_030388,C0041618;C0040132;C0819757
ROCOv2_2023_train_019303,C0024485
ROCOv2_2023_train_026101,C0024485;C0497156;C1275670
ROCOv2_2023_train_016125,C1306645;C0037949;C0228134;C0014537
ROCOv2_2023_train_055002,C0040405;C0817096;C1261074;C0588055
ROCOv2_2023_train_023737,C0024485
ROCOv2_2023_train_013543,C1306645;C0023216;C0205129;C3714759
ROCOv2_2023_train_038523,C0040405;C1290884
ROCOv2_2023_train_013608,C0040405;C0019123
ROCOv2_2023_train_008099,C0024485
ROCOv2_2023_train_017930,C0040405;C0000726;C0205297;C0025474
ROCOv2_2023_train_023368,C0040405;C1261076;C0817096;C0027551
ROCOv2_2023_train_015617,C1306645;C0000726;C0009450
ROCOv2_2023_train_040199,C0040405;C0030797;C0156273
ROCOv2_2023_train_035254,C1306645;C0023216;C0205129;C1261192;C0301559
ROCOv2_2023_train_008046,C0041618
ROCOv2_2023_train_014579,C0040405;C0333641;C0003962;C0028977;C0442034
ROCOv2_2023_train_003876,C0024485;C0031266
ROCOv2_2023_train_018940,C1306645;C0000726;C1999039
ROCOv2_2023_train_053097,C0002978
ROCOv2_2023_train_050889,C0040405;C0000726
ROCOv2_2023_train_028316,C0040405;C0227582
ROCOv2_2023_train_057728,C0002978;C0227391
ROCOv2_2023_train_059683,C1306645;C0037949;C0205129;C0037922
ROCOv2_2023_train_046690,C0041618;C0206187;C0227386;C0006736;C0006826
ROCOv2_2023_train_023820,C0040405;C0817096;C0023370;C0034052
ROCOv2_2023_train_041601,C0041618;C0225957
ROCOv2_2023_train_012959,C0040405;C0227498
ROCOv2_2023_train_007480,C0024485;C0228233
ROCOv2_2023_train_043295,C0024485;C0442872
ROCOv2_2023_train_022613,C0024485;C0027530;C0027651;C0037922;C0446415;C0585442
ROCOv2_2023_train_025281,C0024485;C0223088
ROCOv2_2023_train_008751,C0024485
ROCOv2_2023_train_004221,C0040405
ROCOv2_2023_train_051181,C0002978;C0460005;C0006257;C0042591;C0036525;C0028259
ROCOv2_2023_train_025622,C0040405;C1266909
ROCOv2_2023_train_013106,C1306645;C1140618;C1999039;C0524469
ROCOv2_2023_train_006447,C0040405;C0036525;C0023884;C0027540;C0227590;C0235974
ROCOv2_2023_train_012612,C0040405;C0205207;C0227898
ROCOv2_2023_train_040391,C0041618;C0023884
ROCOv2_2023_train_058067,C0040405
ROCOv2_2023_train_003692,C0002978;C0018827;C0034052
ROCOv2_2023_train_021841,C1306645;C0000726;C1999039;C0232804;C0005682
ROCOv2_2023_train_024157,C0024485;C0014175;C0227873
ROCOv2_2023_train_037679,C0024485;C0027651;C0227613;C0018792
ROCOv2_2023_train_051916,C0041618
ROCOv2_2023_train_015140,C0002978;C1510412
ROCOv2_2023_train_028763,C0002978;C0002940
ROCOv2_2023_train_025127,C0024485;C0027530
ROCOv2_2023_train_032080,C0041618;C0042149;C0014180
ROCOv2_2023_train_032278,C1306645;C0817096;C1996865;C0025066
ROCOv2_2023_train_045616,C0040405;C0001304
ROCOv2_2023_train_033120,C1306645;C0037303
ROCOv2_2023_train_047879,C0040405;C0018787
ROCOv2_2023_train_043485,C1306645;C1140618;C1996865;C0025526;C0230371
ROCOv2_2023_train_012492,C1306645;C0000726;C1999039
ROCOv2_2023_train_004005,C0040405
ROCOv2_2023_train_013065,C0024485;C0037926
ROCOv2_2023_train_025402,C1306645;C0000726;C1999039;C0021852
ROCOv2_2023_train_011980,C1306645;C0037303
ROCOv2_2023_train_053880,C1306645;C0037303
ROCOv2_2023_train_057344,C0040405;C0024204
ROCOv2_2023_train_008277,C0040405
ROCOv2_2023_train_004867,C0002978
ROCOv2_2023_train_046208,C0040405;C0006104;C0032268
ROCOv2_2023_train_030361,C0024485;C0013604
ROCOv2_2023_train_054182,C0040405;C0475358;C0006141;C0040300
ROCOv2_2023_train_016856,C1306645;C0817096;C1996865;C0442800;C0230147;C0011980
ROCOv2_2023_train_056783,C0024485;C0444611;C0227579
ROCOv2_2023_train_043484,C0041618;C0087086;C0225860
ROCOv2_2023_train_018057,C0040405;C0241790
ROCOv2_2023_train_022890,C1306645;C0000726;C1261287;C0205054;C0005400
ROCOv2_2023_train_013228,C1306645;C0037949;C0036036;C0027551
ROCOv2_2023_train_041783,C0040405;C0019080;C0817096
ROCOv2_2023_train_050670,C0040405;C0021853;C0013604
ROCOv2_2023_train_043971,C0040405;C0000726;C0205271;C0227224
ROCOv2_2023_train_030531,C0040405;C0155773
ROCOv2_2023_train_024600,C0040405;C0000726;C0030797;C0021308;C0227613;C0020295;C0022650;C0227614;C0041952
ROCOv2_2023_train_052278,C1306645;C1140618;C1996865
ROCOv2_2023_train_022117,C0040405;C0028259;C1261075;C0225740;C1261077
ROCOv2_2023_train_043141,C0002978;C0035065;C0226333
ROCOv2_2023_train_055934,C0024485;C0581620
ROCOv2_2023_train_000307,C0040405;C0042458;C0087086
ROCOv2_2023_train_047528,C0002978
ROCOv2_2023_train_013051,C1306645;C0037303;C0024687
ROCOv2_2023_train_001776,C0024485;C0006104
ROCOv2_2023_train_017097,C0040405;C0020885;C0032320
ROCOv2_2023_train_057189,C1306645;C0817096;C1996865
ROCOv2_2023_train_042991,C1306645;C0037303
ROCOv2_2023_train_033419,C0041618;C0003483;C0152424;C0162770;C1956257
ROCOv2_2023_train_050176,C1306645;C0817096;C1996865;C0032227;C0230127
ROCOv2_2023_train_008799,C0040405;C2713497
ROCOv2_2023_train_028469,C0041618;C0018246;C0205207;C3669124
ROCOv2_2023_train_031224,C0040405;C0021900;C0000726
ROCOv2_2023_train_008793,C0040405;C0028259
ROCOv2_2023_train_051262,C0041618;C0549109;C0015641;C0006655
ROCOv2_2023_train_049136,C0041618;C0007276;C0007275;C0162859;C0018787
ROCOv2_2023_train_024876,C1306645;C0817096;C1996865;C0332448
ROCOv2_2023_train_024629,C0041618;C0002940
ROCOv2_2023_train_056215,C0024485;C0224498;C0584640
ROCOv2_2023_train_013347,C0040405;C0227579
ROCOv2_2023_train_047401,C0040405;C0000726;C0456269;C0227614
ROCOv2_2023_train_042339,C0040405;C0817096;C0042591;C0447054
ROCOv2_2023_train_043714,C0040405;C0226707
ROCOv2_2023_train_057648,C1306645;C0037949;C1999039;C0225317;C0027530;C0225377
ROCOv2_2023_train_008761,C0024485;C0228120;C0228121;C1305393;C0038541;C0014009
ROCOv2_2023_train_000555,C0040405;C0024687;C1704302;C0040452
ROCOv2_2023_train_059808,C0040405
ROCOv2_2023_train_018849,C0041618;C0031039;C0225897;C0225860;C0225883;C0225844
ROCOv2_2023_train_039857,C0024485;C0205129
ROCOv2_2023_train_052492,C0040405;C0001625
ROCOv2_2023_train_046617,C0002978;C0226037
ROCOv2_2023_train_059988,C0041618;C0152254
ROCOv2_2023_train_030948,C1306645;C0817096;C1996865;C0179740;C0038532
ROCOv2_2023_train_038594,C0041618;C0018792
ROCOv2_2023_train_030755,C1306645;C0023216;C1999039;C0016068;C0005971;C0301559
ROCOv2_2023_train_047355,C0040405
ROCOv2_2023_train_001065,C0040405;C0004811
ROCOv2_2023_train_047185,C0002978
ROCOv2_2023_train_048677,C0040405
ROCOv2_2023_train_021609,C1306645;C0332558;C0222601;C0006826
ROCOv2_2023_train_045676,C0040405;C0444611
ROCOv2_2023_train_008357,C0040405;C0225317;C0006663;C2349948;C0226109;C0007272
ROCOv2_2023_train_003139,C0040405;C2712342;C0005682
ROCOv2_2023_train_018808,C0040405
ROCOv2_2023_train_039696,C1306645;C0023216;C1999039;C0016733;C0015811;C0242696
ROCOv2_2023_train_058004,C0041618;C1140999;C0023884;C0836916;C0032718
ROCOv2_2023_train_014511,C0024485;C0442800;C0022907
ROCOv2_2023_train_030950,C0041618;C0018792;C0018827;C0226682
ROCOv2_2023_train_044863,C1306645;C0817096;C1996865;C0018787;C0034052
ROCOv2_2023_train_009027,C0040405;C0227230
ROCOv2_2023_train_019749,C0449900;C0475358;C0040300
ROCOv2_2023_train_006341,C1306645;C0000726;C1999039;C2937240;C3714551
ROCOv2_2023_train_013168,C0040405;C0446567;C0228233;C1527390
ROCOv2_2023_train_021461,C0041618;C0005682;C0041960
ROCOv2_2023_train_023104,C0040405;C0006141;C0030747
ROCOv2_2023_train_003359,C0032743;C0034606;C0018787
ROCOv2_2023_train_020824,C0040405;C0877248;C0817096
ROCOv2_2023_train_041019,C0024485
ROCOv2_2023_train_041663,C0024485;C0223603
ROCOv2_2023_train_046158,C0040405;C0817096;C0006267;C0230127
ROCOv2_2023_train_056187,C0041618;C0238246;C0023884;C0018916
ROCOv2_2023_train_057204,C1306645;C0817096;C1996865;C2733397
ROCOv2_2023_train_048133,C0040405;C0000726;C0444611
ROCOv2_2023_train_001873,C1306645;C0000726;C1999039;C3887615;C0030797
ROCOv2_2023_train_004697,C0040405;C0817096
ROCOv2_2023_train_019662,C0024485;C0028259;C0023884
ROCOv2_2023_train_045378,C1306645;C0037303;C0205129;C0817096;C0014876;C0012359;C0018787;C0205097;C3714551
ROCOv2_2023_train_002376,C1306645;C0817096;C1999039;C1145640;C0008034;C0332554
ROCOv2_2023_train_042823,C1306645;C0817096;C1996865
ROCOv2_2023_train_005957,C0041618;C0817096;C0225778;C0819757;C0023884
ROCOv2_2023_train_004101,C1306645;C0037949;C0205129;C0027530;C0227150
ROCOv2_2023_train_005804,C1306645;C0817096;C1996865;C0230128;C0032227
ROCOv2_2023_train_030753,C0002978;C0226032
ROCOv2_2023_train_028158,C0024485;C0152347;C0444611
ROCOv2_2023_train_016461,C1306645;C0023216;C1999039
ROCOv2_2023_train_017507,C1306645;C0037303;C0205129;C0016169
ROCOv2_2023_train_058550,C1306645;C0817096;C1999039;C0040578
ROCOv2_2023_train_007191,C0040405
ROCOv2_2023_train_032428,C0002978;C0559769
ROCOv2_2023_train_002133,C0024485;C0205271;C0446438;C0205097
ROCOv2_2023_train_054148,C0024485;C0009324;C0152295
ROCOv2_2023_train_051382,C0024485
ROCOv2_2023_train_041396,C1306645;C0817096;C1999039;C0524469;C0038291
ROCOv2_2023_train_005657,C0002978;C0226262;C0085590;C0003483
ROCOv2_2023_train_005870,C0040405;C0025066;C0747635
ROCOv2_2023_train_023353,C0040405;C0005615;C0222711;C0009195
ROCOv2_2023_train_018532,C0024485;C0007785
ROCOv2_2023_train_012367,C0041618
ROCOv2_2023_train_049662,C1306645;C0000726;C0034896;C0333033
ROCOv2_2023_train_044200,C0024485;C1947917;C0226157;C0019080;C0007272;C1305387;C0149566
ROCOv2_2023_train_007949,C1306645;C0037949;C0205129;C0223084;C0221430
ROCOv2_2023_train_004121,C0024485;C0037949;C0039147
ROCOv2_2023_train_008085,C0041618;C0042458;C0018792;C0042459;C0225844;C1269894;C1269890
ROCOv2_2023_train_010230,C0040405;C0027530;C0227150;C0225317
ROCOv2_2023_train_025709,C0040405;C0005401;C0012359
ROCOv2_2023_train_004336,C0040405
ROCOv2_2023_train_025370,C0040405;C0817096;C0024121;C1261077;C1456806;C0018792
ROCOv2_2023_train_025881,C1306645;C0037303;C0205129;C0225317
ROCOv2_2023_train_049898,C0024485;C0026845;C0585574;C0224347;C0224362;C4551531;C0224361
ROCOv2_2023_train_051086,C1306645;C0030797;C1999039
ROCOv2_2023_train_057381,C0041618
ROCOv2_2023_train_027991,C1306645;C0817096;C1996865;C0032227;C0018787
ROCOv2_2023_train_002068,C0040405;C0038525
ROCOv2_2023_train_015666,C0024485;C0039866;C0030786
ROCOv2_2023_train_039769,C0040405;C0444611;C0242255;C0229427;C1266909;C0226865
ROCOv2_2023_train_014975,C0040405;C0030274
ROCOv2_2023_train_031039,C1306645;C0030797;C0005682;C0036471
ROCOv2_2023_train_015683,C0024485;C0018792;C0018787;C0457113;C1456806;C0456934;C0042458;C0003483;C1269894;C1269890
ROCOv2_2023_train_058792,C0041618;C0018827
ROCOv2_2023_train_015739,C1306645;C0030797;C1999039;C0524470;C0524471;C0015813;C0431952
ROCOv2_2023_train_014322,C0024485
ROCOv2_2023_train_012875,C0040405;C0227327
ROCOv2_2023_train_010510,C1306645;C0817096;C1996865;C0018787
ROCOv2_2023_train_017781,C0041618;C0019066;C0227844
ROCOv2_2023_train_002471,C0041618;C0225870
ROCOv2_2023_train_010639,C1306645;C0023216;C1999039;C0524471;C0029396
ROCOv2_2023_train_033873,C0041618;C0039508;C0026845;C1123023;C0024687
ROCOv2_2023_train_001971,C0024485;C0228157;C0152319
ROCOv2_2023_train_038951,C1306645;C0817096;C1996865;C1269845;C0025066
ROCOv2_2023_train_045668,C0041618
ROCOv2_2023_train_041683,C0002978
ROCOv2_2023_train_001435,C1306645;C0023216;C1999039;C0524470
ROCOv2_2023_train_029452,C1306645;C0817096;C1996865;C0032227;C0225703;C0025066
ROCOv2_2023_train_037055,C1306645;C0023216;C1999039;C4721411;C0576464;C0025589;C0018534
ROCOv2_2023_train_016527,C0024485;C0022646;C0042232
ROCOv2_2023_train_019421,C1306645;C0817096;C1996865;C1261075;C0444611
ROCOv2_2023_train_009424,C1306645;C0000726;C0227302
ROCOv2_2023_train_018614,C0040405;C0230028
ROCOv2_2023_train_023748,C0040405;C0817096
ROCOv2_2023_train_053692,C1306645;C0817096;C1999039;C0524469;C0446567;C0008913
ROCOv2_2023_train_012795,C1306645;C1140618;C1999039;C0037004
ROCOv2_2023_train_025872,C1306645;C0037303
ROCOv2_2023_train_003033,C0002978;C0018787
ROCOv2_2023_train_045757,C0040405;C0819757
ROCOv2_2023_train_054733,C1306645;C0000726;C1999039
ROCOv2_2023_train_029033,C0040405;C0042458
ROCOv2_2023_train_049499,C0040405
ROCOv2_2023_train_022579,C0041618;C0034193;C0023884;C0162861;C0003483
ROCOv2_2023_train_023607,C1306645
ROCOv2_2023_train_005878,C1306645;C0030797;C1999039;C0036036
ROCOv2_2023_train_044429,C0002978;C4281590;C0034052;C1510412
ROCOv2_2023_train_019396,C0041618;C0087086
ROCOv2_2023_train_009525,C0024485;C0223603;C0223088;C0223084;C0037925
ROCOv2_2023_train_050606,C1306645;C0817096;C1999039
ROCOv2_2023_train_015296,C1306645;C0817096;C1999039
ROCOv2_2023_train_013249,C0041618;C0230136;C0836916;C0023884;C0205054;C0040300;C0819757;C0205097
ROCOv2_2023_train_009240,C0040405;C0023884
ROCOv2_2023_train_050960,C0024485
ROCOv2_2023_train_049411,C1306645;C0023216;C0205129
ROCOv2_2023_train_058676,C1306645;C0030797;C1999039;C0222671;C0448190;C0007776
ROCOv2_2023_train_049586,C0040405;C0817096;C0032285
ROCOv2_2023_train_047385,C1306645;C0817096;C1996865;C4281590
ROCOv2_2023_train_030763,C0040405
ROCOv2_2023_train_001543,C0040405;C1261077
ROCOv2_2023_train_057615,C1306645;C0000726
ROCOv2_2023_train_002046,C0040405;C0034065;C1261074;C0226054
ROCOv2_2023_train_019901,C0040405;C0028259;C0037993
ROCOv2_2023_train_040759,C0002978;C0226032
ROCOv2_2023_train_002806,C0024485;C0030797;C0521622;C0042149;C0027086;C0027651;C0227844
ROCOv2_2023_train_035831,C1306645;C0037949;C1999039;C0015450
ROCOv2_2023_train_037779,C0002978;C0225897;C0226054;C0003483;C0225706
ROCOv2_2023_train_002704,C0002978;C0226032
ROCOv2_2023_train_050023,C0041618
ROCOv2_2023_train_028803,C1306645;C1140618;C1999039;C0230370;C4721411;C0025526;C0223741
ROCOv2_2023_train_008788,C1306645;C0817096;C1999039;C0037949;C0301559
ROCOv2_2023_train_035456,C0041618;C0008325
ROCOv2_2023_train_022175,C0040405
ROCOv2_2023_train_012937,C0040405;C1261077;C0032310
ROCOv2_2023_train_004265,C0040405;C0728985
ROCOv2_2023_train_041957,C0040405;C0817096;C0008034;C0178802;C0444611
ROCOv2_2023_train_051994,C0041618;C0001863;C0018787;C0003483;C0225897;C0018792
ROCOv2_2023_train_049536,C1306645;C0023216;C1999039;C0000962
ROCOv2_2023_train_018694,C0024485;C0020889;C0225317
ROCOv2_2023_train_046576,C0040405;C0817096;C0333159;C0032326
ROCOv2_2023_train_048339,C0024485;C0227391
ROCOv2_2023_train_059596,C1306645;C0037303;C0030471
ROCOv2_2023_train_058262,C0040405;C0040300;C0000833
ROCOv2_2023_train_024733,C0041618;C0225897
ROCOv2_2023_train_028178,C0040405
ROCOv2_2023_train_033585,C1306645;C0037303
ROCOv2_2023_train_026461,C1306645;C0030797
ROCOv2_2023_train_027696,C0040405;C0021308;C0226213;C0019080
ROCOv2_2023_train_041998,C0040405;C1306838;C0264361
