ID,Caption
ROCOv2_2023_train_040342,AP view of skull showing minor degree of falx cerebri calcification
ROCOv2_2023_train_047436,Radiograph of a pectoral flipper of a 58 year old male dolphin.Note the osteoarthritic changes and calcification of the cartilages demonstrating the degenerative changes observed in geriatric dolphins.
ROCOv2_2023_train_048345,Chest x-ray showing eventration of diaphragm and bowel gases in the right thoracic region.
ROCOv2_2023_train_051461,CT chest with contrast imaging of right hilar mass.
ROCOv2_2023_train_046698,"Measurement of filling ratio and alpha angle [27]. Anteroposterior radiograph of a left shoulder. The alpha angle (α) was measured between the shaft axis (blue line) and the stem axis (red line). Filling ration at the level of the metaphysis (FRmet) is a line perpendicular to the shaft axis, intersecting at the distal–medial border of the humeral platform. Filling ratio at the level of the diaphysis (FRdia) is a line perpendicular to the shaft axis, intersecting at the distal third of the prosthesis. The filling ratio is the quotient of the orange and green lines at the metaphysis (FRmet) and at the diaphysis (FRdia). Distances were calibrated based on the size of the glenosphere."
ROCOv2_2023_train_017385,Knee effusion (arrows) in suprapatellar short axis view.
ROCOv2_2023_train_039177,bilateral multilocular cystic masses in a patient with Ovarian hyperstimulation syndrome in a spontaneous pregnancy with invasive mole
ROCOv2_2023_train_052334,"Axial cut of an intravenous contrast-enhanced computed tomography scan of the chest, demonstrating a tortuous hypertrophied bronchial artery (3 arrows) supplying a large subcarinal metastasis not visualized in this image. The vessel approximates the posterior membrane of the proximal right mainstem bronchus (solid arrow) at the location of the bleeding lesion identified at bronchoscopy."
ROCOv2_2023_train_048267,Lateral X-ray of patient's right wrist demonstrating moderate volar soft tissue swelling
ROCOv2_2023_train_020590,X-ray after the contusion of the left hand 7 years ago with visible subcutaneous air collections emphysema of the left arm.
ROCOv2_2023_train_047293,CT chest showing a consolidation involving the left lingular segment (blue arrow) along with peri-bronchial consolidation in the anterior segment of the right upper lobe (red arrow). CT - computed tomography
ROCOv2_2023_train_015184,Computed angiography showing a large-sized renal vein aneurysm (white arrow) arising from the left renal vein (black arrow).
ROCOv2_2023_train_017257,Follow-up anteroposterior radiographs with solid fusion with implant in situ.
ROCOv2_2023_train_032844,Axial CT Scan of Left Lower ExtremityArrowhead demonstrates discrete intramuscular fluid collection with the largest focus centered in the vastus lateralis.
ROCOv2_2023_train_025197,"The left ventricle in case 1. Arrow marks showing hyperechogenic scarred papillary muscles. LA: Left Ventricle, LV: Left Ventricle, RA: Right Atrium, RV: Right Ventricle"
ROCOv2_2023_train_023236,Anteroposterior fluoroscopic view shows intradiscal contrast injection and contrast flow in epidural space and along the right L4 nerve root.
ROCOv2_2023_train_019778,Transesophageal echocardiogram revealing vegetation on the mitral valve leaflets.
ROCOv2_2023_train_012825,Case 2 post-operative dislocation of left hip hemiarthroplasty
ROCOv2_2023_train_052401,Three-month postoperative image showed shrinkage of cystic cavity and a space maintainer
ROCOv2_2023_train_023741,"Chest roentgenogram upon admission. Frontal chest roentgenogram revealed extensive bilateral diffuse pulmonary infiltrations, left greater than right."
ROCOv2_2023_train_006409,MR arthrogram in the T1-weighted image shows a labral tear at the anterosuperior portion.
ROCOv2_2023_train_016848,Femoral venous angiogram demonstrating azygos continuation in an infant with visceral heterotaxy and recurrent SVT.
ROCOv2_2023_train_027452,Amplatzer Cardiac Plug® LAA-occluder prior to release showing optimal lobe (white arrows) and disc (black arrows) position.
ROCOv2_2023_train_026535,Angiography: left kidney. Tumor mass in the middle segment with mostly extrarenal location.
ROCOv2_2023_train_036040,Non-contrast computed tomography of the abdomen. Irregular-shaped cavities containing abundant gas in the right lobe of the liver.
ROCOv2_2023_train_007183,Frontal view panel showing liver metastasis and thickening of deuodenum and jejunum.
ROCOv2_2023_train_022801,"Axial section of abdominal CT scan. There is a significant quantity of free air and fluid within the abdomen, which can be seen adjacent to the liver, indicative of bowel perforation. Free air can also be seen in the portal venous system of the liver."
ROCOv2_2023_train_030428,Plain radiograph of a pelvis a.p. after type 1c resection including partial resection of the fifth lumbar vertebrae and reconstruction with a polyaxial screw-rod-system augmented by a bone cement sheath
ROCOv2_2023_train_058045,Fluoroscopic view of a guide wire.
ROCOv2_2023_train_001384,Coronal view computed tomography angiogram (CTA) image shows thrombus in right common carotid artery extending into carotid bifurcation
ROCOv2_2023_train_033109,"Positron emission tomography scan. Numerous hot uptakes are seen at left supraclavicular area, retroperitoneum, pelvis, and pleura, thus suggesting metastases."
ROCOv2_2023_train_033802,Supine abdominal anteroposterior radiograph shows a single crown (white arrow) with a post (black arrow) in the gastric antrum.
ROCOv2_2023_train_022950,"Computed tomography of the central portions of both lungs in the patient, showing diffuse ground glass opacity and interlobular septal thickening."
ROCOv2_2023_train_047724,Axial CT scan demonstrating the diameter of the diaphragmatic hernia.
ROCOv2_2023_train_056970,Coronal CT urography image showing no evidence of filling defect in the left upper ureter.
ROCOv2_2023_train_033555,"Egg shell sign (arrow), defined as a distance greater than 6mm from the aortic calcification to the lateral soft tissue margin of the aorta, with a widened mediastinum indicating aortic dissection."
ROCOv2_2023_train_011795,MRI brain axial T2 FLAIR sequence showing hyperintensities in bilateral basal ganglia.MRI: Magnetic resonance imaging; FLAIR: Fluid attenuated inversion recovery.
ROCOv2_2023_train_003697,Chest radiograph demonstrating free intra-abdominal air below the diaphragm. (Black arrows demonstrate the air below the diaphragm).
ROCOv2_2023_train_024660,AP plain X-ray of the thoracic spine. A heterogeneous bony mass is seen in the lower thoracic spine.
ROCOv2_2023_train_019446,"CT cystography, axial plane (retrograde contrast medium instillation). Contrast medium accumulated within the bladder without leakage"
ROCOv2_2023_train_017568,Panoramic radiograph shows the impacted tooth in the right mandibular condylar head.
ROCOv2_2023_train_013791,"Bone scan showing symmetric, diffuse cortical uptake around the diaphysis in both tibias and femurs. The uptake of the right ribs is attributed to tumor invasion."
ROCOv2_2023_train_009934,X-ray eight weeks after surgery shows reduced proximal femur with a pin
ROCOv2_2023_train_039513,ERCP image showing contrast leak at the pancreatic duct injury site.
ROCOv2_2023_train_049642,"(A) Post stent graft deployment. Good vessel wall reconstruction noticed with no extravasation of contrast at the iatrogenic injury site. (B) Good flow into the intracranial VA with filling of the basilar artery and its branches.VA, vertebral artery"
ROCOv2_2023_train_030251,Plain radiograph showing osteolytic changes at the medial side of the left iliac bone.
ROCOv2_2023_train_044397,"Nineteen months after the caesarean section. Saline infusion sonohysterography shows that despite the presence of a 4 mm defect “isthmocele,” myometrium continuity was maintained."
ROCOv2_2023_train_044774,A chest X-ray obtained on postnatal day 11. Diffuse pulmonary interstitial emphysema with growing pseudocystic changes in the right lung field can be seen on this X-ray.
ROCOv2_2023_train_030388,Ultrasound of thyroid. Heterogeneous thyroid echogenicity with increased parenchymal vascularity.
ROCOv2_2023_train_019303,MRI image of patient 2 before operation.
ROCOv2_2023_train_026101,"female, 52 years, axial T2-weighted MRI shows lymphadenopathy (arrow), and portosystemic collaterals are shown as areas without signal intensity."
ROCOv2_2023_train_016125,"Epidural positioning. A soft guidewire is passed into the epidural space under fluoroscopy. If no resistance is met, this confirms appropriate epidural space positioning."
ROCOv2_2023_train_055002,Chest computed tomography (CT) scan revealing an ill-defined mass in the upper lobe of the right lung with ipsilateral mediastinal lymph node swelling.
ROCOv2_2023_train_023737,Coronal 3-D fast spoiled gradient echo (FSPGR) magnetic resonance (MR) image. No significant findings are present.
ROCOv2_2023_train_013543,Lateral X-ray of the knee shows a linear bony fragment at the upper pole of the patella.
ROCOv2_2023_train_038523,CT scan with unspecific inflammatory changes.
ROCOv2_2023_train_013608,CT scan—large left-sided tension hemothorax with the mediastinal shift.
ROCOv2_2023_train_008099,Coronal MRI of the lesion.
ROCOv2_2023_train_017930,"CECT of the abdomen done three months after that in Figure 4 showing a focal nodular area of enhancement (arrow) within the mesenteric mass, which is suggestive of disease progression. The patient died four months later."
ROCOv2_2023_train_023368,"A 65-year-old woman with a pulmonary nodule in the left upper lobe diagnosed by CT-guided thoracic biopsy. Lesion depth was measured from the point of pleural puncture to the nearest edge of the lung lesion along the needle path (distance a to b), which was 3.6 cm. The pathologic result was primary adenocarcinoma."
ROCOv2_2023_train_015617,Procedure as CEVL components in a case of grade IV reflux in an infant girl. Voiding cystourethrogram (VCUG) showing Grade IV reflux in an 18 month old girl with recurrent febrile urine infection which breaks through prophylactic antiseptic administration. There is a family history or reflux. The family chose to repair reflux by endoscopic injection therapy. The CEVL method was used as is shown.
ROCOv2_2023_train_040199,CT abdomen/pelvis axial view: the arrow indicating herniated bladder diverticulum
ROCOv2_2023_train_035254,Postoperative plain lateral ankle radiograph showing solid union at the subtalar joint arthrodesis site using one 7.3mm lag screw.
ROCOv2_2023_train_008046,Right atrial thrombosis (*) is depicted in transesophageal echocardiography (upper esophageal view).
ROCOv2_2023_train_014579,"CT scan showing marked reduction of the ascites, omental and peritoneal lesions."
ROCOv2_2023_train_003876,Magnetic resonance imaging shows an abnormality of the right petrous bone and hypoglossal nerve.
ROCOv2_2023_train_018940,Cigarette lighter on abdominal X-ray.
ROCOv2_2023_train_053097,Transmission electron microscope (TEM) image of a single graphene nanoplatelet (GNP). Scale marker is 200 nm.
ROCOv2_2023_train_050889,Contrast-enhanced CT of the abdomen on hospital day 7 showing resolution of the ileocecal mass.
ROCOv2_2023_train_028316,Patient 1. CT on second postop day. Lack of perfusion (arrow) of a distal segment of the pancreatic body.
ROCOv2_2023_train_057728,‘Sigmoid’ wire shape on angiography suggests subintimal wire passage.
ROCOv2_2023_train_059683,Determination of the K-line and Cobb angle. The K-line is a virtual line that connects the midpoints of the anteroposterior diameter of the spinal canal at C2 and C7 on lateral cervical radiographs. The C2–7 angle was measured from the inferior C2 endplate and the superior C 7 endplate.
ROCOv2_2023_train_046690,"The whole extrahepatic bile duct seen under transabdominal ultrasound after normal saline retention enema. The whole compensatory dilated extrahepatic bile duct (indicated by BD and the arrows) is visible behind the transverse colon (indicated by C). Indicated by A and the arrows is the upper bound of the overlapping between the extrahepatic bile duct and transverse colon, and indicated by B and the arrows is the lower bound of the overlapping. This patient was checked after cholecystectomy, and no calculus or cancer was found, which is not included in the cases studied in this article. It is just taken as an example to describe the effect of visualizing the extrahepatic bile duct after the enema."
ROCOv2_2023_train_023820,CT angiogram of the chest showing saddle embolus in pulmonary arteries (marked with blue arrow). CT = computed tomography.
